title,author,year,journal,primary_domain,trend_topics,collections,canonical_old_path,source_txt,source_pdf,duplicate_count,warning
个人信息可识别性解释路径的反思与重构,曹博,2022,行政法学研究,数据法、个人信息与算法治理,个人信息权利与平台治理；算法治理与数字人格；知识产权基础理论与制度治理,上海交大知产,papers/个人信息可识别性解释路径的反思与重构_曹博.md,txt/个人信息可识别性解释路径的反思与重构_曹博.txt,data/个人信息可识别性解释路径的反思与重构_曹博.pdf,1,
个人信息权绝对权属性的规范依据与法理证成——从微信读书案切入,曹博,2022,暨南学报（哲学社会科学版）,数据法、个人信息与算法治理,个人信息权利与平台治理,上海交大知产,papers/个人信息权绝对权属性的规范依据与法理证成——从微信读书案切入_曹博.md,txt/个人信息权绝对权属性的规范依据与法理证成——从微信读书案切入_曹博.txt,data/个人信息权绝对权属性的规范依据与法理证成——从微信读书案切入_曹博.pdf,2,
个人信息许可使用的法律构造,孙靖洲,2024,《法律科学（西北政法大学学报）》2024年第4期,数据法、个人信息与算法治理,个人信息权利与平台治理,人大知产,专题/人大知产/papers/个人信息许可使用的法律构造_孙靖洲.md,txt/个人信息许可使用的法律构造_孙靖洲.txt,data/个人信息许可使用的法律构造_孙靖洲.pdf,1,
中国民间文学艺术作品版权保护的思路,胡开忠,2025,创意中国,知识产权—著作权法,著作权作品、独创性与表达边界；传统文化、公共健康与国际规则,原论文库,papers/中国民间文学艺术作品版权保护的思路_胡开忠.md,txt/中国民间文学艺术作品版权保护的思路_胡开忠.txt,data/中国民间文学艺术作品版权保护的思路_胡开忠.pdf,1,
中国民间文艺作品版权保护障碍及解决路径,胡开忠,2024,中国版权,知识产权—著作权法,著作权作品、独创性与表达边界,原论文库,papers/中国民间文艺作品版权保护障碍及解决路径_胡开忠.md,txt/中国民间文艺作品版权保护障碍及解决路径_胡开忠.txt,data/中国民间文艺作品版权保护障碍及解决路径_胡开忠.pdf,1,
中国特色民间文学艺术作品著作权保护理论的构建,胡开忠,2022,法学研究,知识产权—著作权法,著作权作品、独创性与表达边界；传统文化、公共健康与国际规则,原论文库,papers/中国特色民间文学艺术作品著作权保护理论的构建_胡开忠.md,txt/中国特色民间文学艺术作品著作权保护理论的构建_胡开忠.txt,data/中国特色民间文学艺术作品著作权保护理论的构建_胡开忠.pdf,1,
中国知识产权保护的新态势——40年来我国知识产权保护的回顾与展望,孔祥俊,2018,未知,其他知识产权与综合治理,知识产权综合治理,上海交大知产,papers/中国知识产权保护的新态势——40年来我国知识产权保护的回顾与展望_孔祥俊.md,txt/中国知识产权保护的新态势——40年来我国知识产权保护的回顾与展望_孔祥俊.txt,data/中国知识产权保护的新态势——40年来我国知识产权保护的回顾与展望_孔祥俊.pdf,1,
中国网络版权保护20年,王迁、闻天吉,2020,中国出版,知识产权—著作权法,平台过滤义务、避风港与通知移除；网络传播行为与平台版权责任,华政王迁,papers/中国网络版权保护20年_王迁.md,txt/中国网络版权保护20年_王迁.txt,data/中国网络版权保护20年_王迁.pdf,1,
云存储背后的虚拟复制与隐形传播,崔国斌,2025,法律科学,知识产权—著作权法,网络传播行为与平台版权责任,清华知产,papers/云存储背后的虚拟复制与隐形传播_崔国斌.md,txt/云存储背后的虚拟复制与隐形传播_崔国斌.txt,data/云存储背后的虚拟复制与隐形传播_崔国斌.pdf,1,
互联网广告屏蔽行为的效应分析及规制路径选择,杨明,2021,《清华法学》2021年第4期,纯反不正当竞争,反不正当竞争法一般条款、商业道德与行为类型化；平台竞争与反垄断,北大知产,专题/北大知产/papers/互联网广告屏蔽行为的效应分析及规制路径选择_杨明.md,txt/互联网广告屏蔽行为的效应分析及规制路径选择_杨明.txt,data/互联网广告屏蔽行为的效应分析及规制路径选择_杨明.pdf,1,
“互联网条款”对于新类型网络服务的适用问题——从“通知删除”到“通知加采取必要措施”,孔祥俊,2020,政法论丛,知识产权—著作权法,生成式AI输出侵权与服务提供者责任；平台过滤义务、避风港与通知移除；网络传播行为与平台版权责任,上海交大知产,papers/“互联网条款”对于新类型网络服务的适用问题_孔祥俊.md,txt/“互联网条款”对于新类型网络服务的适用问题——从“通知删除”到“通知加采取必要措施”_孔祥俊.txt,data/“互联网条款”对于新类型网络服务的适用问题——从“通知删除”到“通知加采取必要措施”_孔祥俊.pdf,2,
人工智能数据训练中的著作权保护,胡开忠,2026,政法论丛,数据法、个人信息与算法治理,大模型训练数据的复制权、合理使用与许可；著作权限制、例外与合理使用,上海交大知产,papers/❓人工智能数据训练中的著作权保护_胡开忠.md,txt/人工智能数据训练中的著作权保护_胡开忠.txt,data/人工智能数据训练中的著作权保护_胡开忠.pdf,1,
人工智能时代创作风格的价值重勘与著作权制度因应,代晓焜,2026,法学研究2026年第1期,知识产权—著作权法,著作权作品、独创性与表达边界,著作权法近两年,专题/著作权法近两年/papers/人工智能时代创作风格的价值重勘与著作权制度因应_代晓焜.md,txt/人工智能时代创作风格的价值重勘与著作权制度因应_代晓焜.txt,data/人工智能时代创作风格的价值重勘与著作权制度因应_代晓焜.pdf,1,
人工智能时代的版权法通知—移除制度,万勇,2019,《中外法学》2019年第5期,知识产权—著作权法,平台过滤义务、避风港与通知移除；网络传播行为与平台版权责任,人大知产,专题/人大知产/papers/人工智能时代的版权法通知—移除制度_万勇.md,txt/人工智能时代的版权法通知—移除制度_万勇.txt,data/人工智能时代的版权法通知—移除制度_万勇.pdf,1,
人工智能模型的司法保护——以“变身漫画特效”不正当竞争纠纷案为视角,周辉,2026,法律适用,知产相关反不正当竞争,商业秘密保护与合理获取；反不正当竞争法一般条款、商业道德与行为类型化；AI模型、智能体与新型客体保护,著作权法近两年,专题/著作权法近两年/papers/人工智能模型的司法保护——以“变身漫画特效”不正当竞争纠纷案为视角_周辉.md,txt/人工智能模型的司法保护——以“变身漫画特效”不正当竞争纠纷案为视角_周辉.txt,data/人工智能模型的司法保护——以“变身漫画特效”不正当竞争纠纷案为视角_周辉.pdf,1,
人工智能模型的竞争利益范畴,贾海东,2026,比较法研究,知产相关反不正当竞争,反不正当竞争法一般条款、商业道德与行为类型化；AI模型、智能体与新型客体保护；知识产权基础理论与制度治理,反不正当竞争法,专题/反不正当竞争法/papers/人工智能模型的竞争利益范畴_贾海东.md,txt/人工智能模型的竞争利益范畴_贾海东.txt,data/人工智能模型的竞争利益范畴_贾海东.pdf,1,
人工智能生成内容(AIGC)著作权保护笔谈录,张凌寒、郭禾、冯晓青、张平、熊琦、张吉豫,2024,《数字法治》2024年第1期（总第7期）,知识产权—著作权法,生成式AI输出侵权与服务提供者责任；AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界；开源治理,人大知产,专题/人大知产/papers/人工智能生成内容(AIGC)著作权保护笔谈录_张凌寒.md,txt/人工智能生成内容(AIGC)著作权保护笔谈录_张凌寒.txt,data/人工智能生成内容(AIGC)著作权保护笔谈录_张凌寒.pdf,1,原文为笔谈录，未设置摘要和关键词；author包含主持人与全部笔谈人。
人工智能生成内容“作品”属性的名实之辨,刘文杰,2026,比较法研究,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,著作权法近两年,专题/著作权法近两年/papers/人工智能生成内容“作品”属性的名实之辨_刘文杰.md,txt/人工智能生成内容“作品”属性的名实之辨_刘文杰.txt,data/人工智能生成内容“作品”属性的名实之辨_刘文杰.pdf,1,
人工智能生成内容可版权性的认定方法研究,张宪,2025,法学评论(双月刊),知识产权—著作权法,AIGC可版权性、创作行为与作者认定,著作权法近两年,专题/著作权法近两年/papers/人工智能生成内容可版权性的认定方法研究_张宪.md,txt/人工智能生成内容可版权性的认定方法研究_张宪.txt,data/人工智能生成内容可版权性的认定方法研究_张宪.pdf,1,
人工智能生成内容权益保护的实践检视及优化,陈兵,2025,未知,知产相关反不正当竞争,AIGC可版权性、创作行为与作者认定,著作权法近两年,专题/著作权法近两年/papers/人工智能生成内容权益保护的实践检视及优化_陈兵.md,txt/人工智能生成内容权益保护的实践检视及优化_陈兵.txt,data/人工智能生成内容权益保护的实践检视及优化_陈兵.pdf,1,
人工智能生成内容的阶梯式保护体系,孙靖洲,2026,《法商研究》2026年第1期,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；平台过滤义务、避风港与通知移除；著作权限制、例外与合理使用；开源治理,人大知产,专题/人大知产/papers/人工智能生成内容的阶梯式保护体系_孙靖洲.md,txt/人工智能生成内容的阶梯式保护体系_孙靖洲.txt,data/人工智能生成内容的阶梯式保护体系_孙靖洲.pdf,1,
人工智能生成物中用户的独创性贡献,崔国斌,2023,中国版权,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,清华知产,papers/人工智能生成物中用户的独创性贡献_崔国斌.md,txt/人工智能生成物中用户的独创性贡献_崔国斌.txt,data/人工智能生成物中用户的独创性贡献_崔国斌.pdf,1,
人工智能生成物可版权性司法案例评述,崔国斌,2024,中国法律评论,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,清华知产,papers/人工智能生成物可版权性司法案例评述_崔国斌.md,txt/人工智能生成物可版权性司法案例评述_崔国斌.txt,data/人工智能生成物可版权性司法案例评述_崔国斌.pdf,1,
人工智能生成物的智力财产属性辨析,曹博,2019,比较法研究,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；知识产权基础理论与制度治理,原论文库,papers/人工智能生成物的智力财产属性辨析_曹博.md,txt/人工智能生成物的智力财产属性辨析_曹博.txt,data/人工智能生成物的智力财产属性辨析_曹博.pdf,1,
人工智能生成的内容（AIGC）受著作权法保护吗,朱阁、崔国斌、王迁、张湖月,2024,中国法律评论,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,华政王迁,papers/人工智能生成的内容（AIGC）受著作权法保护吗_朱阁.md,txt/人工智能生成的内容（AIGC）受著作权法保护吗_朱阁.txt,data/人工智能生成的内容（AIGC）受著作权法保护吗_朱阁.pdf,1,
人工智能生成的内容是作品吗？,王迁,2024,版权理论与实务,知识产权—著作权法,AIGC可版权性、创作行为与作者认定,华政王迁,papers/人工智能生成的内容是作品吗？_王迁.md,txt/人工智能生成的内容是作品吗？_王迁.txt,data/人工智能生成的内容是作品吗？_王迁.pdf,1,
人工智能生成的内容是作品吗？——以学术规范和著作权法的关系为视角,王迁,2025,中国法律评论,知识产权—著作权法,AIGC可版权性、创作行为与作者认定,华政王迁,papers/人工智能生成的内容是作品吗？——以学术规范和著作权法的关系为视角_王迁.md,txt/人工智能生成的内容是作品吗？——以学术规范和著作权法的关系为视角_王迁.txt,data/人工智能生成的内容是作品吗？——以学术规范和著作权法的关系为视角_王迁.pdf,1,
人工智能知识产权保护的若干问题,孔祥俊,2018,未知,其他知识产权与综合治理,知识产权综合治理,上海交大知产,papers/人工智能知识产权保护的若干问题_孔祥俊.md,txt/人工智能知识产权保护的若干问题_孔祥俊.txt,data/人工智能知识产权保护的若干问题_孔祥俊.pdf,1,
人工智能著作权归属的类型化建构,高天书,2024,云南民族大学学报(哲学社会科学版),知识产权—著作权法,AIGC可版权性、创作行为与作者认定,著作权法近两年,专题/著作权法近两年/papers/人工智能著作权归属的类型化建构_高天书.md,txt/人工智能著作权归属的类型化建构_高天书.txt,data/人工智能著作权归属的类型化建构_高天书.pdf,1,该总结由AI生成，请结合原文进行核对
人工智能训练侵犯作品复制权吗？,李春晖,2025,华东政法大学学报,知识产权—著作权法,大模型训练数据的复制权、合理使用与许可；著作权限制、例外与合理使用,著作权法近两年,专题/著作权法近两年/papers/人工智能训练侵犯作品复制权吗__李春晖.md,txt/人工智能训练侵犯作品复制权吗__李春晖.txt,data/人工智能训练侵犯作品复制权吗__李春晖.pdf,1,
人工智能训练的版权困境及其出路：模块化许可机制探析,孙靖洲,2024,《知识产权》2024年第11期,知识产权—著作权法,大模型训练数据的复制权、合理使用与许可；AIGC可版权性、创作行为与作者认定；著作权限制、例外与合理使用；标准必要专利、FRAND与禁诉令,人大知产,专题/人大知产/papers/人工智能训练的版权困境及其出路：模块化许可机制探析_孙靖洲.md,txt/人工智能训练的版权困境及其出路：模块化许可机制探析_孙靖洲.txt,data/人工智能训练的版权困境及其出路：模块化许可机制探析_孙靖洲.pdf,1,
人工智能辅助作品的构成要件及作者认定,胡开忠,2026,湖北社会科学,知识产权—著作权法,著作权权利体系与传统作品问题,上海交大知产,papers/人工智能辅助作品的构成要件及作者认定_胡开忠.md,txt/人工智能辅助作品的构成要件及作者认定_胡开忠.txt,data/人工智能辅助作品的构成要件及作者认定_胡开忠.pdf,1,
人工智能辅助生成内容的著作权法规制,曹博,2024,比较法研究,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；平台过滤义务、避风港与通知移除；著作权限制、例外与合理使用,上海交大知产,papers/人工智能辅助生成内容的著作权法规制_曹博.md,txt/人工智能辅助生成内容的著作权法规制_曹博.txt,data/人工智能辅助生成内容的著作权法规制_曹博.pdf,1,
人格权的类型化解析与体系构建,刘银良,2026,《中国社会科学》2026年第5期,数据法、个人信息与算法治理,算法治理与数字人格,北大知产,专题/北大知产/papers/人格权的类型化解析与体系构建_刘银良.md,txt/人格权的类型化解析与体系构建_刘银良.txt,data/人格权的类型化解析与体系构建_刘银良.pdf,1,原PDF文字层存在严重字间空格和异常字符；本笔记以逐页中文OCR结果并结合原文字层复核，个别外文、脚注字符仍可能存在识别误差。
从三维人格同一性探究人格权的客体,刘银良,2024,《中外法学》2024年第5期,数据法、个人信息与算法治理,算法治理与数字人格；知识产权基础理论与制度治理,北大知产,专题/北大知产/papers/从三维人格同一性探究人格权的客体_刘银良.md,txt/从三维人格同一性探究人格权的客体_刘银良.txt,data/从三维人格同一性探究人格权的客体_刘银良.pdf,1,
从代码到规则：人工智能时代开源治理的法律回应,杜微科、张平、孙海龙、陈兵、王鑫、辜凌云,2026,《数字法治》2026年第3期（总第21期）,知产相关反不正当竞争,AIGC可版权性、创作行为与作者认定；开源治理,人大知产,专题/人大知产/papers/从代码到规则：人工智能时代开源治理的法律回应_杜微科.md,txt/从代码到规则：人工智能时代开源治理的法律回应_杜微科.txt,data/从代码到规则：人工智能时代开源治理的法律回应_杜微科.pdf,1,原文为圆桌论坛，未设置摘要和关键词；author包含主持人与全部与谈人。
从地方著名商标制度的废除看商标法理论的规范评价意义,蒋舸,2018,现代法学,商标法,商业标识、地理标志与混淆；知识产权基础理论与制度治理,清华知产,papers/从地方著名商标制度的废除看商标法理论的规范评价意义_蒋舸.md,txt/从地方著名商标制度的废除看商标法理论的规范评价意义_蒋舸.txt,data/从地方著名商标制度的废除看商标法理论的规范评价意义_蒋舸.pdf,1,
从机械时代到数字时代的中国知识产权法变迁,刘银良,2025,《北大知识产权评论（2024年卷）》,其他知识产权与综合治理,商业标识、地理标志与混淆；知识产权基础理论与制度治理,北大知产,专题/北大知产/papers/从机械时代到数字时代的中国知识产权法变迁_刘银良.md,txt/从机械时代到数字时代的中国知识产权法变迁_刘银良.txt,data/从机械时代到数字时代的中国知识产权法变迁_刘银良.pdf,1,
从私权视角论我国《商标法》的结构与重构,金海军,2024,《知识产权》2024年第3期,商标法,商标注册、使用与恶意申请；商业标识、地理标志与混淆,人大知产,专题/人大知产/papers/从私权视角论我国《商标法》的结构与重构_金海军.md,txt/从私权视角论我国《商标法》的结构与重构_金海军.txt,data/从私权视角论我国《商标法》的结构与重构_金海军.pdf,1,
从言论自由制度的本质分析来理解其中国特色,吴伟光,2018,清华法学,其他知识产权与综合治理,知识产权综合治理,清华知产,papers/从言论自由制度的本质分析来理解其中国特色_吴伟光.md,txt/从言论自由制度的本质分析来理解其中国特色_吴伟光.txt,data/从言论自由制度的本质分析来理解其中国特色_吴伟光.pdf,1,
从隐私利益的产生和本质来理解中国隐私权制度的特殊性,吴伟光,2017,当代法学,数据法、个人信息与算法治理,个人信息权利与平台治理,清华知产,papers/从隐私利益的产生和本质来理解中国隐私权制度的特殊性_吴伟光.md,txt/从隐私利益的产生和本质来理解中国隐私权制度的特殊性_吴伟光.txt,data/从隐私利益的产生和本质来理解中国隐私权制度的特殊性_吴伟光.pdf,1,
付费会影响知识传播吗——一个法律的角度,王迁,2019,学术期刊,知识产权—著作权法,著作权作品、独创性与表达边界；著作权限制、例外与合理使用,华政王迁,papers/付费会影响知识传播吗——一个法律的角度_王迁.md,txt/付费会影响知识传播吗——一个法律的角度_王迁.txt,data/付费会影响知识传播吗——一个法律的角度_王迁.pdf,1,
传播录音制品获酬权条款研究,王迁,2021,苏州大学学报（哲学社会科学版）,知识产权—著作权法,网络传播行为与平台版权责任；著作权作品、独创性与表达边界；著作权限制、例外与合理使用,华政王迁,papers/传播录音制品获酬权条款研究_王迁.md,txt/传播录音制品获酬权条款研究_王迁.txt,data/传播录音制品获酬权条款研究_王迁.pdf,1,
传统文化表现形式知识产权国际条约制定的困境与出路,胡开忠,2026,交大法学,其他知识产权与综合治理,传统文化、公共健康与国际规则,上海交大知产,papers/传统文化表现形式知识产权国际条约制定的困境与出路_胡开忠.md,txt/传统文化表现形式知识产权国际条约制定的困境与出路_胡开忠.txt,data/传统文化表现形式知识产权国际条约制定的困境与出路_胡开忠.pdf,1,
体育赛事现场直播画面著作权保护若干问题——评“凤凰网赛事转播案”再审判决,王迁,2020,知识产权,知识产权—著作权法,著作权作品、独创性与表达边界,华政王迁,papers/体育赛事现场直播画面著作权保护若干问题——评“凤凰网赛事转播案”再审判决_王迁.md,txt/体育赛事现场直播画面著作权保护若干问题——评“凤凰网赛事转播案”再审判决_王迁.txt,data/体育赛事现场直播画面著作权保护若干问题——评“凤凰网赛事转播案”再审判决_王迁.pdf,1,
体育赛事直播画面的独创性标准选择,崔国斌,2019,,知识产权—著作权法,著作权作品、独创性与表达边界,清华知产,papers/体育赛事直播画面的独创性标准选择_崔国斌.md,txt/体育赛事直播画面的独创性标准选择_崔国斌.txt,data/体育赛事直播画面的独创性标准选择_崔国斌.pdf,1,
作为算法的法律,蒋舸,2019,清华法学,其他知识产权与综合治理,知识产权综合治理,清华知产,papers/作为算法的法律_蒋舸.md,txt/作为算法的法律_蒋舸.txt,data/作为算法的法律_蒋舸.pdf,1,
使用开源代码训练大模型的著作权法评价——以全球首例机器学习诉讼为研究样本,张韬略,2025,知识产权,知识产权—著作权法,大模型训练数据的复制权、合理使用与许可；著作权限制、例外与合理使用；开源治理；知识产权基础理论与制度治理,著作权法近两年,专题/著作权法近两年/papers/使用开源代码训练大模型的著作权法评价——以全球首例机器学习诉讼为研究样本_张韬略.md,txt/使用开源代码训练大模型的著作权法评价——以全球首例机器学习诉讼为研究样本_张韬略.txt,data/使用开源代码训练大模型的著作权法评价——以全球首例机器学习诉讼为研究样本_张韬略.pdf,1,
侵权法在私法秩序生成中的谦抑性——以竞争秩序的生成为核心,解亘,2026,法学研究,纯反不正当竞争,反不正当竞争法一般条款、商业道德与行为类型化,反不正当竞争法,专题/反不正当竞争法/papers/侵权法在私法秩序生成中的谦抑性——以竞争秩序的生成为核心_解亘.md,txt/侵权法在私法秩序生成中的谦抑性——以竞争秩序的生成为核心_解亘.txt,data/侵权法在私法秩序生成中的谦抑性——以竞争秩序的生成为核心_解亘.pdf,1,
侵犯商标权犯罪相关疑难问题的法律分析,王迁,2022,人民检察,商标法,商业标识、地理标志与混淆,华政王迁,papers/侵犯商标权犯罪相关疑难问题的法律分析_王迁.md,txt/侵犯商标权犯罪相关疑难问题的法律分析_王迁.txt,data/侵犯商标权犯罪相关疑难问题的法律分析_王迁.pdf,1,
信息网络传播权侵权案件地域管辖问题的制度反思,杨明,2024,《中国应用法学》2024年第5期,知识产权—著作权法,网络传播行为与平台版权责任；平台竞争与反垄断,北大知产,专题/北大知产/papers/信息网络传播权侵权案件地域管辖问题的制度反思_杨明.md,txt/信息网络传播权侵权案件地域管辖问题的制度反思_杨明.txt,data/信息网络传播权侵权案件地域管辖问题的制度反思_杨明.pdf,1,
公共健康危机的知识产权法应对,万勇,2022,《中国法学》2022年第5期,其他知识产权与综合治理,传统文化、公共健康与国际规则；知识产权基础理论与制度治理,人大知产,专题/人大知产/papers/公共健康危机的知识产权法应对_万勇.md,txt/公共健康危机的知识产权法应对_万勇.txt,data/公共健康危机的知识产权法应对_万勇.pdf,1,
公开数据集合法律保护的客体要件,崔国斌,2022,,数据法、个人信息与算法治理,商业数据确权与竞争法保护；商业秘密保护与合理获取；知识产权基础理论与制度治理,清华知产,papers/公开数据集合法律保护的客体要件_崔国斌.md,txt/公开数据集合法律保护的客体要件_崔国斌.txt,data/公开数据集合法律保护的客体要件_崔国斌.pdf,1,
关于商标法案例教学的几点思考,冯术杰,2024,中国商标,商标法,商业标识、地理标志与混淆,清华知产,papers/关于商标法案例教学的几点思考_冯术杰.md,txt/关于商标法案例教学的几点思考_冯术杰.txt,data/关于商标法案例教学的几点思考_冯术杰.pdf,1,
关键词隐性使用行为的法律规制研究,刘思洁,2026,知识产权,知产相关反不正当竞争,商业标识、地理标志与混淆；搭便车与竞争秩序,反不正当竞争法,专题/反不正当竞争法/papers/关键词隐性使用行为的法律规制研究_刘思洁.md,txt/关键词隐性使用行为的法律规制研究_刘思洁.txt,data/关键词隐性使用行为的法律规制研究_刘思洁.pdf,1,
关键词隐性搜索的不正当竞争定性,孔祥俊,2025,法治监管：《反不正当竞争法》修订,知产相关反不正当竞争,商业标识、地理标志与混淆；搭便车与竞争秩序；反不正当竞争法一般条款、商业道德与行为类型化,上海交大知产,papers/关键词隐性搜索的不正当竞争定性_孔祥俊.md,txt/关键词隐性搜索的不正当竞争定性_孔祥俊.txt,data/关键词隐性搜索的不正当竞争定性_孔祥俊.pdf,1,
内容产业侵权新模式下的平台责任认定,吴汉东、杨明、万勇、熊琦、蒋舸、刘鑫,2025,《数字法治》2025年第5期（总第17期）,知识产权—著作权法,网络传播行为与平台版权责任；知识产权救济与损害赔偿,人大知产,papers/内容产业侵权新模式下的平台责任认定_吴汉东.md,txt/内容产业侵权新模式下的平台责任认定_吴汉东.txt,data/内容产业侵权新模式下的平台责任认定_吴汉东.pdf,1,原文为圆桌论坛，未设置摘要和关键词；author包含主持人与全部与谈人。
再论人工智能生成的内容在著作权法中的定性,王迁,2023,政法论坛,知识产权—著作权法,AIGC可版权性、创作行为与作者认定；著作权作品、独创性与表达边界,华政王迁,papers/再论人工智能生成的内容在著作权法中的定性_王迁.md,txt/再论人工智能生成的内容在著作权法中的定性_王迁.txt,data/再论人工智能生成的内容在著作权法中的定性_王迁.pdf,1,
再论提供互联网点播终端服务在《著作权法》中的定性及责任承担,王迁,2024,当代法学,知识产权—著作权法,网络传播行为与平台版权责任,华政王迁,papers/再论提供互联网点播终端服务在《著作权法》中的定性及责任承担_王迁.md,txt/再论提供互联网点播终端服务在《著作权法》中的定性及责任承担_王迁.txt,data/再论提供互联网点播终端服务在《著作权法》中的定性及责任承担_王迁.pdf,1,
再论著作权法中的公众使用权：互依性的视角,刘银良,2023,《知识产权》2023年第11期,知识产权—著作权法,著作权限制、例外与合理使用；知识产权基础理论与制度治理,北大知产,专题/北大知产/papers/再论著作权法中的公众使用权：互依性的视角_刘银良.md,txt/再论著作权法中的公众使用权：互依性的视角_刘银良.txt,data/再论著作权法中的公众使用权：互依性的视角_刘银良.pdf,1,
